Date,Open,High,Low,Close,Adj Close,Volume
2023-04-15,107.0736467,108.6295836,105.6124304,107.0639223,107.0639223,32614396.21
2023-04-16,107.0461611,108.5927983,105.583327,107.0220232,107.0220232,32593056.51
2023-04-17,107.010382,108.5621288,105.5518382,106.992186,106.992186,32618679.75
2023-04-18,106.9719133,108.5193317,105.5097264,106.9531847,106.9531847,32615015.78
2023-04-19,106.9381491,108.4829362,105.4718602,106.9127232,106.9127232,32619083.3
2023-04-20,106.8991675,108.4429061,105.427701,106.8719245,106.8719245,32644920.93
2023-04-21,106.8617535,108.4037946,105.3906045,106.840323,106.840323,32672091.26
2023-04-22,106.8395978,108.3844486,105.3708609,106.8231754,106.8231754,32637250.35
2023-04-23,106.8398085,108.3828333,105.3678921,106.8248845,106.8248845,32579255.31
2023-04-24,106.841018,108.3846521,105.3661774,106.8253185,106.8253185,32574784.1
2023-04-25,106.8342562,108.3725932,105.3570372,106.8136551,106.8136551,32546517.37
2023-04-26,106.8327215,108.3714983,105.3579064,106.816751,106.816751,32470574.98
2023-04-27,106.835893,108.3701967,105.3591441,106.8154543,106.8154543,32395553.45
2023-04-28,106.8275851,108.3538503,105.3462836,106.7966903,106.7966903,32335948.5
2023-04-29,106.8127878,108.3340382,105.3262986,106.7780759,106.7780759,32342146.71
2023-04-30,106.7912849,108.3165443,105.305766,106.7563937,106.7563937,32357940.95
2023-05-01,106.766667,108.2778044,105.2754219,106.7118754,106.7118754,32322996.27
2023-05-02,106.721007,108.2369246,105.23612,106.6756785,106.6756785,32306738.32
2023-05-03,106.6849693,108.2009224,105.2098824,106.6545205,106.6545205,32292907.91
2023-05-04,106.6656557,108.1812415,105.1874117,106.6344928,106.6344928,32322975.01
2023-05-05,106.6524241,108.1705004,105.1812109,106.6252527,106.6252527,32279931.26
2023-05-06,106.6473425,108.1662167,105.1750629,106.6168707,106.6168707,32267248.44
2023-05-07,106.6455442,108.145539,105.1728549,106.5904972,106.5904972,32239174.03
2023-05-08,106.6191297,108.1159994,105.1478424,106.5588246,106.5588246,32218567.58
2023-05-09,106.5855548,108.072057,105.1094072,106.5103159,106.5103159,32183974.6
2023-05-10,106.5432356,108.0259739,105.0626132,106.4593509,106.4593509,32159950.69
2023-05-11,106.4977802,107.9864023,105.0218676,106.422775,106.422775,32163775.89
2023-05-12,106.4592198,107.9507373,104.9874703,106.3926252,106.3926252,32172521.03
2023-05-13,106.4384191,107.9259545,104.9628114,106.3729392,106.3729392,32126689.76
2023-05-14,106.4234505,107.9133868,104.9492789,106.3570878,106.3570878,32107335.36
2023-05-15,106.4013194,107.8926443,104.925665,106.3355782,106.3355782,32049150.18
2023-05-16,106.3765627,107.8696786,104.911997,106.3248861,106.3248861,32005041.25
2023-05-17,106.358811,107.8452726,104.8935525,106.2951833,106.2951833,31987081.5
2023-05-18,106.3317825,107.8152935,104.8634475,106.2650054,106.2650054,31972742.93
2023-05-19,106.3002419,107.7885685,104.8386596,106.2329618,106.2329618,31969951.43
2023-05-20,106.2815921,107.7705072,104.832067,106.2263466,106.2263466,31902763.94
2023-05-21,106.273146,107.7621759,104.8262419,106.2212527,106.2212527,31891699.91
2023-05-22,106.271849,107.7644068,104.8292428,106.2260196,106.2260196,31827813.8
2023-05-23,106.2599912,107.7400195,104.8166208,106.1989006,106.1989006,31716580.91
2023-05-24,106.2357451,107.7138291,104.7902582,106.1670709,106.1670709,31712215.76
2023-05-25,106.2085854,107.67813,104.7574417,106.1267815,106.1267815,31690345.98
2023-05-26,106.1725083,107.6422496,104.7194157,106.0921258,106.0921258,31712790.61
2023-05-27,106.1414469,107.607695,104.6836991,106.0562613,106.0562613,31758333.43
2023-05-28,106.1034764,107.5639954,104.6408566,106.008548,106.008548,31771267.29
2023-05-29,106.0583315,107.5194874,104.5922489,105.9602089,105.9602089,31811617.95
2023-05-30,106.0179677,107.4774616,104.5469801,105.9145351,105.9145351,31861824.77
2023-05-31,105.9688723,107.4271737,104.4980395,105.8693547,105.8693547,31912314.95
2023-06-01,105.9245425,107.3879165,104.4535476,105.8266537,105.8266537,31963211.04
2023-06-02,105.8735287,107.3342177,104.3981649,105.7716008,105.7716008,31967309.5
2023-06-03,105.812392,107.278044,104.3419671,105.7197421,105.7197421,31997760.33
2023-06-04,105.7550602,107.2208934,104.2819749,105.6564077,105.6564077,32048956.6
2023-06-05,105.6940485,107.1610557,104.2171812,105.5912347,105.5912347,32098774.68
2023-06-06,105.6312471,107.1004646,104.1520113,105.5273111,105.5273111,32150590.45
2023-06-07,105.5737521,107.0441569,104.0915827,105.4716655,105.4716655,32187509.46
2023-06-08,105.518767,106.9894909,104.0335335,105.4133387,105.4133387,32243857.91
2023-06-09,105.4650319,106.9412349,103.9830316,105.3665266,105.3665266,32285264.1
2023-06-10,105.4264011,106.9067557,103.943877,105.3313144,105.3313144,32328234.98
2023-06-11,105.3944424,106.8745999,103.9062336,105.2974704,105.2974704,32393543.85
2023-06-12,105.3622775,106.8432293,103.8706631,105.2641667,105.2641667,32451714.27
2023-06-13,105.3270484,106.8040358,103.8300308,105.2189848,105.2189848,32513202.02
2023-06-14,105.2897748,106.7710359,103.8047928,105.1986634,105.1986634,32494422.27
2023-06-15,105.2711231,106.7544527,103.7849706,105.181912,105.181912,32539276.32
2023-06-16,105.2516831,106.7395894,103.7690379,105.166999,105.166999,32559220.67
2023-06-17,105.2302612,106.7232783,103.7517325,105.1548839,105.1548839,32574824.72
2023-06-18,105.2181591,106.7084897,103.737414,105.136689,105.136689,32591546.65
2023-06-19,105.1968423,106.6924917,103.7234355,105.1259219,105.1259219,32625002.39
2023-06-20,105.1884964,106.6871841,103.7152745,105.1192391,105.1192391,32654989.3
2023-06-21,105.1810698,106.6741174,103.7026367,105.1020535,105.1020535,32692640.05
2023-06-22,105.1697248,106.6625067,103.688917,105.0890458,105.0890458,32726189.02
2023-06-23,105.1542476,106.6453341,103.6677619,105.0669785,105.0669785,32764000.49
2023-06-24,105.1310898,106.6255934,103.6429118,105.0439903,105.0439903,32802878.27
2023-06-25,105.1204989,106.6189489,103.6411376,105.0468633,105.0468633,32781568.66
2023-06-26,105.1226834,106.6242622,103.6410627,105.0470493,105.0470493,32806911.79
2023-06-27,105.1270195,106.6296363,103.646186,105.0555296,105.0555296,32801430.09
2023-06-28,105.1391505,106.6435237,103.6569248,105.0644801,105.0644801,32761764.33
2023-06-29,105.1525995,106.6566726,103.6652856,105.0723947,105.0723947,32800355.46
2023-06-30,105.1647924,106.6736832,103.6777669,105.0879995,105.0879995,32825289.01
2023-07-01,105.1786606,106.6887375,103.6952581,105.1110471,105.1110471,32830598.49
2023-07-02,105.2038934,106.7103595,103.7147234,105.1307735,105.1307735,32824773.09
2023-07-03,105.226012,106.7383371,103.739504,105.1561337,105.1561337,32829532.51
2023-07-04,105.2542898,106.7655527,103.7630735,105.1838564,105.1838564,32852377.08
2023-07-05,105.2774021,106.7924002,103.7904269,105.2143479,105.2143479,32863407.15
2023-07-06,105.3076696,106.8165764,103.8169366,105.2348414,105.2348414,32864982.97
2023-07-07,105.3341286,106.8490231,103.8481149,105.2658526,105.2658526,32872196.4
2023-07-08,105.3670021,106.8805668,103.8810043,105.3040108,105.3040108,32871921.38
2023-07-09,105.4011568,106.9106881,103.9102146,105.3304553,105.3304553,32891325.83
2023-07-10,105.420844,106.9308099,103.9242234,105.3450999,105.3450999,32907359.67
